anime_id,title,score,genre
7953,Defend Love,6,"Adventure, Fantasy, Magic, Mecha, Romance, Super Power, Supernatural, Music, Sci-Fi"
3844,Apache Yakyuugun,6.07,"Action, Sports, School"
31699,Good Morning!!! Doronjo,5.7,"Comedy, Parody"
7593,Kiss x Sis (TV),6.97,"Harem, Comedy, Romance, Ecchi, School, Seinen"
35935,Koto no Shidai,3.67,"Music, Dementia"
7411,Kanojo x Kanojo x Kanojo: Sanshimai to no DokiDoki Kyoudou Seikatsu,7.53,"Harem, Hentai"
30450,Dr. Slump: Hoyoyo! Arale no Himitsu Dai Koukai dayo!!,6.03,"Comedy, Sci-Fi, Shounen"
34859,Tick Tock,4.25,Music
35139,Crayon Shin-chan x Panpaka Pants: Aeon Cinema Manner Movie Collab,5.36,Comedy
1388,Yakin Byoutou Ni,6.3,Hentai
22,Tennis no Ouji-sama,8.01,"Action, Comedy, Sports, School, Shounen"
2953,Egao,6.66,"Music, Slice of Life, Kids"
32219,Raldessia Chronicles,5.38,"Action, Adventure"
1016,Gunnm,7.22,"Drama, Mecha, Sci-Fi, Shounen"
35505,Velvet Underworld: Alternative,4.8,"Action, Music"
6822,Ukkari Pթnթlope (2009),6.15,"Comedy, Slice of Life"
2051,Akai Kiba: Blue Sonnet,6.09,"Action, Drama, Sci-Fi, Shoujo, Super Power"
11583,Kami nomi zo Shiru Sekai: Natsu-iro Surprise,6.62,Music
7155,Beat Shot!!,5.55,Sports
34943,T7S Longing for Summer Again and Again: Harukaze,6.47,"Music, School"
34430,Detective Conan Movie 21: The Crimson Love Letter,7.89,"Action, Mystery, Historical, Police, Drama, Romance"
9627,Kakko Kawaii Sengen!,5.73,Comedy
36398,Na mo Nai Hana no Youni,3.5,Music
7745,Zettai Karen Children OVA: Aitazousei! Ubawareta Mirai?,7.32,"Action, Comedy, Shounen, Supernatural"
8671,Raja Maharaja,4.87,"Music, Slice of Life"
34692,Umbrella Fighter!,3.92,Slice of Life
24999,Akai Jitensha,5.22,"Music, Kids"
31972,Tang Lang Bu Chan,5.75,Historical
8719,Donna Donna,5.2,"Music, Slice of Life, Kids"
353,Ojamajo Doremi Dokkaan!,7.56,"Comedy, Magic, Shoujo"
26349,Danna ga Nani wo Itteiru ka Wakaranai Ken,7.51,"Slice of Life, Comedy, Romance, Seinen"
2762,Igano Kabamaru,8.07,"Action, Adventure, Comedy, Romance, School, Shounen"
32792,Mobile Suit Gundam Unicorn RE:0096,7.56,"Action, Drama, Mecha, Military, Sci-Fi, Space"
15809,Hataraku Maou-sama!,7.98,"Comedy, Demons, Supernatural, Romance, Fantasy"
11049,Shin Maple Town Monogatari: Palm Town-hen - Konnichiwa! Atarashii Machi,6.38,"Slice of Life, Fantasy"
3627,D.C.II S.S.: Da Capo II Second Season,7.33,"Fantasy, Comedy, Harem, Romance, Drama"
33126,Kurogane no Linebarrels Picture Drama,5.95,Mecha
30814,Landscape,4.07,Dementia
2205,Bakuretsu Tenshi: Infinity,6.88,"Action, Comedy, Mecha, Sci-Fi, Shounen"
17535,Fairy Tail Movie 1: Houou no Miko - Hajimari no Asa,7.49,"Fantasy, Magic, Shounen"
1151,Dominion,7.03,"Sci-Fi, Comedy, Police, Mecha"
2025,Darker than Black: Kuro no Keiyakusha,8.21,"Action, Sci-Fi, Mystery, Super Power"
15125,Teekyuu,6.71,"Comedy, School, Shounen, Sports"
7193,Aoi Bungaku Series,7.84,"Psychological, Historical, Thriller, Drama, Seinen"
27621,Glass no Kamen Desu ga to Z,5.88,"Comedy, Parody"
13585,Natsuyuki Rendezvous,7.34,"Supernatural, Drama, Romance, Josei"
1969,Mobile Suit Zeta Gundam: A New Translation III - Love Is the Pulse of the Stars,7.3,"Military, Sci-Fi, Space, Drama, Mecha"
3813,Gekkou no Pierce: Yumemi to Gin no Bara no Kishidan,6.09,"Fantasy, Mystery, Romance, Shoujo"
