anime_id,title,type,episodes,score,rank,popularity,favorites,genre,duration_min
13781,Dokkiri Doctor Special,Special,1,6.2,9992,11441,0,"Comedy, Ecchi",25
13833,Nagareboshi Lens,OVA,1,6.75,4541,3061,21,"Romance, Shoujo",18
11237,Hidamari Sketch x SP,Special,2,7.84,812,3760,7,"Slice of Life, Comedy, School, Seinen",24
33905,Hatsune Miku: Hiyashite Narasou Okashi no Ii Oto,ONA,1,5.78,7840,7792,2,Music,0.483333333
32167,Tenkousei wa Uchuujin,Music,1,4.32,12396,13253,0,"Kids, Music",2
3358,Kure-nai,TV,12,7.46,1778,1192,221,"Comedy, Drama, Martial Arts",25
15315,Mondaiji-tachi ga Isekai kara Kuru Sou Desu yo?,TV,10,7.79,906,199,3219,"Action, Comedy, Fantasy, Supernatural",23
2827,Calimero,TV,45,6.27,6502,6207,4,Comedy,25
28657,Red Colored Bridge,Movie,1,3.64,9481,9130,1,"Dementia, Psychological",5
5305,Koihime?€?Musou OVA,OVA,1,6.71,4715,3933,4,"Comedy, Ecchi, Fantasy, School",30
36252,Library Cross Infinite,TV,0,0,,9528,0,"Game, Romance",0
1636,Ai Shimai Tsubomi... Kegashite Kudasai,OVA,2,6.17,,5052,21,Hentai,30
552,Digimon Adventure,TV,54,7.88,732,305,3625,"Action, Adventure, Comedy, Fantasy, Kids",24
101,Air,TV,12,7.42,1919,340,2547,"Slice of Life, Supernatural, Drama, Romance",24
34525,Centaur no Nayami,TV,12,6.57,5315,1589,79,"Comedy, Fantasy, Seinen, Slice of Life",23
3417,Yawaraka Sangokushi Tsukisase!! Ryofuko-chan,OVA,4,6.48,5702,5358,10,"Comedy, Ecchi, Magic",26
1509,Mamotte! Lollipop,TV,13,6.92,3849,3137,113,"Adventure, Comedy, Magic, Romance, Shoujo",25
11739,Kimi to Boku. 2,TV,13,8.07,465,1444,305,"Comedy, Drama, Romance, School, Shounen, Slice of Life",24
4013,Paul no Miracle Daisakusen,TV,50,6.59,5260,9457,1,"Action, Adventure, Kids",25
36817,Sunoharasou no Kanrinin-san,TV,0,0,,4689,8,"Slice of Life, Comedy",0
30240,Prison School,TV,12,7.91,684,133,3527,"Comedy, Ecchi, Romance, School, Seinen",24
6932,Kemono to Chat,OVA,1,6.19,6792,7674,1,Comedy,28
34678,Kingsglaive: FFXV Fan Kansha Tokubetsu Movie,ONA,1,5.95,7462,8006,0,Action,1
36006,Mainichi JK Kikaku,TV,0,0,,6842,1,School,0
27687,Oshiri Kajiri Mushi (TV) 3rd Season,TV,10,5.41,8535,9840,0,"Comedy, Kids",5
35255,Soutai Sekai,ONA,2,6.11,7068,5790,5,Sci-Fi,16
1278,Bishoujo Senshi Sailor Moon SuperS Gaiden: Ami-chan no Hatsukoi,Special,1,7.36,2174,2893,16,"Comedy, Magic, Romance, Shoujo",15
404,Bastard!!: Ankoku no Hakaishin,OVA,6,6.87,4023,2407,116,"Action, Adventure, Comedy, Ecchi, Fantasy, Seinen",26
10361,Macross F: Choujikuu Gekijou,OVA,1,6.59,5257,6379,0,"Comedy, Slice of Life",2
31821,Arslan Senki (TV): Fuujin Ranbu,TV,8,7.62,1287,1022,131,"Action, Adventure, Historical, Supernatural, Drama, Fantasy, Shounen",24
4398,Kuro Nyago,Movie,1,5.51,8357,6532,5,Fantasy,3
4752,Vampire Knight: Guilty,TV,13,7.45,1836,299,3125,"Mystery, Supernatural, Drama, Romance, Vampire, Shoujo",24
18525,Rin x Sen + Ran -> Sem: Cross Mix,OVA,2,7.14,,4729,65,Hentai,30
31205,Lulin Da Maoxian,Movie,1,5.33,11099,13030,0,"Adventure, Fantasy",82
36963,IDOLiSH7 Vibrato,ONA,0,7.66,1196,6991,10,Music,14
80,Mobile Suit Gundam,TV,43,7.87,763,1215,1342,"Action, Space, Mecha, Military, Sci-Fi",25
32790,Urm?? (Zanzou),Music,1,5.12,8927,11378,0,"Music, Supernatural, Vampire",4
37609,Yumekui Shirokuro Baku,Music,1,3.4,12816,14378,0,"Music, Demons",3
34491,Sagurare Otome The Animation,OVA,1,6.3,,6498,8,Hentai,17
3501,Wellber no Monogatari: Sisters of Wellber Zwei,TV,13,6.94,3799,5585,2,"Adventure, Fantasy, Historical, Romance",20
2452,Space Adventure Cobra,Movie,1,7.18,2907,4951,26,"Action, Adventure, Sci-Fi, Space",99
111,Corrector Yui,TV,52,6.9,3902,3808,35,"Sci-Fi, Adventure, Comedy, Magic",25
7528,Kujira (1952),Movie,1,5.33,8634,9462,1,Fantasy,10
3581,Requiem,OVA,2,5.3,,6035,6,Hentai,30
11095,Zouressha ga Yatte Kita,Movie,1,5.36,12860,12307,0,Adventure,80
33433,Shuumatsu no Izetta,TV,12,6.84,4169,739,231,"Action, Historical, Military",25
11741,Fate/Zero 2nd Season,TV,12,8.66,54,81,10953,"Action, Supernatural, Magic, Fantasy",24
36664,Matsumotokiyoshi x Osomatsu-san,ONA,9,5.93,11195,8082,1,Comedy,0.7
